2024-10-19 11:06:40 - INFO - ep: 39/500, t: 35.587, train_loss: 2353.1662, batch_loss: 1070.5889, IC: 51.1901, EQ: 117.0098, BC_G: 710.3734, BC_P: 192.0157, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:07:15 - INFO - ep: 40/500, t: 35.335, train_loss: 2347.3948, batch_loss: 2866.9941, IC: 114.0557, EQ: 229.8108, BC_G: 1836.5023, BC_P: 464.4778, T_f: 0.0374, T_Pres: 1557.7651
2024-10-19 11:07:50 - INFO - ep: 41/500, t: 35.337, train_loss: 2079.1384, batch_loss: 1446.5575, IC: 136.5897, EQ: 237.9634, BC_G: 733.9365, BC_P: 240.7463, T_f: 0.0166, T_Pres: 737.1660
2024-10-19 11:08:26 - INFO - ep: 42/500, t: 35.420, train_loss: 2414.4236, batch_loss: 2109.1541, IC: 64.0546, EQ: 161.5579, BC_G: 1548.3235, BC_P: 335.2180, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:09:01 - INFO - ep: 43/500, t: 35.380, train_loss: 2067.4801, batch_loss: 1950.2874, IC: 155.1034, EQ: 279.5870, BC_G: 997.1442, BC_P: 298.2723, T_f: 0.0236, T_Pres: 1083.8097
2024-10-19 11:09:36 - INFO - ep: 44/500, t: 35.355, train_loss: 2575.9966, batch_loss: 1971.5179, IC: 45.3294, EQ: 102.3544, BC_G: 1578.5729, BC_P: 245.2614, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:10:12 - INFO - ep: 45/500, t: 35.306, train_loss: 1955.1284, batch_loss: 7763.2739, IC: 127.8459, EQ: 252.4191, BC_G: 1533.4945, BC_P: 438.0956, T_f: 0.1230, T_Pres: 4742.5566
2024-10-19 11:10:47 - INFO - ep: 46/500, t: 35.306, train_loss: 2319.1189, batch_loss: 1819.3613, IC: 61.3893, EQ: 136.3917, BC_G: 1360.7688, BC_P: 260.8115, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:11:23 - INFO - ep: 47/500, t: 35.469, train_loss: 2022.7554, batch_loss: 1546.9207, IC: 95.2016, EQ: 228.0683, BC_G: 840.5815, BC_P: 146.9211, T_f: 0.0209, T_Pres: 562.9172
2024-10-19 11:11:58 - INFO - ep: 48/500, t: 35.515, train_loss: 2024.7278, batch_loss: 2240.8677, IC: 58.9844, EQ: 142.8542, BC_G: 1402.3525, BC_P: 636.6765, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:12:33 - INFO - ep: 49/500, t: 35.441, train_loss: 2128.3519, batch_loss: 2144.3989, IC: 117.0229, EQ: 287.0488, BC_G: 802.5517, BC_P: 278.2054, T_f: 0.0285, T_Pres: 1271.7104
2024-10-19 11:13:09 - INFO - ep: 50/500, t: 35.265, train_loss: 1098.9362, batch_loss: 740.0973, IC: 44.8280, EQ: 101.6485, BC_G: 438.1785, BC_P: 155.4423, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:13:44 - INFO - ep: 51/500, t: 35.081, train_loss: 1237.1952, batch_loss: 1154.9685, IC: 77.1784, EQ: 164.7405, BC_G: 469.9969, BC_P: 233.1647, T_f: 0.0133, T_Pres: 782.2513
2024-10-19 11:14:19 - INFO - ep: 52/500, t: 35.269, train_loss: 1170.1720, batch_loss: 1051.3035, IC: 30.5692, EQ: 73.9818, BC_G: 735.7544, BC_P: 210.9980, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:14:54 - INFO - ep: 53/500, t: 35.250, train_loss: 1203.1403, batch_loss: 1050.7605, IC: 90.2917, EQ: 166.0645, BC_G: 635.1711, BC_P: 212.7509, T_f: 0.0145, T_Pres: 494.6016
2024-10-19 11:15:30 - INFO - ep: 54/500, t: 35.392, train_loss: 1091.2829, batch_loss: 796.8162, IC: 29.2114, EQ: 77.0363, BC_G: 548.2791, BC_P: 142.2894, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:16:05 - INFO - ep: 55/500, t: 35.569, train_loss: 1178.6242, batch_loss: 1330.2568, IC: 79.1053, EQ: 142.1931, BC_G: 445.3613, BC_P: 73.8033, T_f: 0.0166, T_Pres: 841.5762
2024-10-19 11:16:41 - INFO - ep: 56/500, t: 35.655, train_loss: 1157.4245, batch_loss: 1258.1615, IC: 101.3380, EQ: 161.3646, BC_G: 624.9673, BC_P: 184.6857, T_f: 0.0184, T_Pres: 523.0522
2024-10-19 11:17:17 - INFO - ep: 57/500, t: 35.641, train_loss: 1128.5518, batch_loss: 1610.6858, IC: 129.3374, EQ: 233.2476, BC_G: 557.3514, BC_P: 420.0565, T_f: 0.0278, T_Pres: 458.1680
2024-10-19 11:17:52 - INFO - ep: 58/500, t: 35.450, train_loss: 1136.0450, batch_loss: 1186.2006, IC: 88.3186, EQ: 156.0834, BC_G: 672.6302, BC_P: 98.1698, T_f: 0.0158, T_Pres: 584.4333
2024-10-19 11:18:27 - INFO - ep: 59/500, t: 35.207, train_loss: 1270.7734, batch_loss: 1097.7905, IC: 37.8278, EQ: 86.7688, BC_G: 694.6564, BC_P: 278.5377, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:19:02 - INFO - ep: 60/500, t: 35.235, train_loss: 1208.6357, batch_loss: 1965.4708, IC: 110.6275, EQ: 193.1059, BC_G: 661.2045, BC_P: 118.5143, T_f: 0.0290, T_Pres: 779.2473
2024-10-19 11:19:38 - INFO - ep: 61/500, t: 35.362, train_loss: 1185.5614, batch_loss: 568.9316, IC: 36.0077, EQ: 74.2441, BC_G: 382.4115, BC_P: 76.2683, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:20:13 - INFO - ep: 62/500, t: 35.488, train_loss: 1210.8961, batch_loss: 890.9557, IC: 31.7844, EQ: 78.9792, BC_G: 555.7659, BC_P: 224.4261, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:20:49 - INFO - ep: 63/500, t: 35.291, train_loss: 1336.0214, batch_loss: 751.0138, IC: 29.8243, EQ: 78.6353, BC_G: 566.3502, BC_P: 76.2040, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:21:24 - INFO - ep: 64/500, t: 35.226, train_loss: 1125.6921, batch_loss: 1184.4785, IC: 44.0392, EQ: 92.9019, BC_G: 933.0955, BC_P: 114.4419, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:21:59 - INFO - ep: 65/500, t: 35.103, train_loss: 1255.3556, batch_loss: 819.8849, IC: 29.1031, EQ: 80.5170, BC_G: 618.8641, BC_P: 91.4008, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:22:34 - INFO - ep: 66/500, t: 35.266, train_loss: 1056.8446, batch_loss: 919.0971, IC: 36.5159, EQ: 102.0700, BC_G: 649.2431, BC_P: 131.2681, T_f: 0.0000, T_Pres: 0.0000
